inventorytofactorydistance,isholiday,modeofdelivery,month,profittocompany,quantity,rootcause,totalweight,year
303,True,road,December,421176,242,faulty plant layout,44518,2014
505,True,water,July,150319,660,excessive machine stoppage,28240,2007
227,False,water,May,197101,289,Supply Shortages and logistical uncertainties,36360,2004
464,True,rail,December,152684,688,Raw material low,16527,2015
396,False,airways,November,186319,56,excessive machine stoppage,38469,2010
707,False,rail,October,374044,157,excessive machine stoppage,899,2014
495,True,rail,October,537102,199,faulty plant layout,3072,2008
714,True,rail,October,554689,151,Demand Variation,20394,2007
137,False,rail,June,273275,68,electricty stoppage,6688,2006
697,False,water,February,369036,527,Factory shutdown,7141,2015
125,False,rail,November,129569,707,Demand Variation,27487,2016
60,True,rail,April,513821,125,Strike of workers,52739,2011
131,True,water,January,701290,219,Financial problems of company leading to interrupted supplies,13797,2012
300,False,road,July,164841,97,Poor inventory control,35869,2013
166,False,road,April,152409,185,Financial problems of company leading to interrupted supplies,89852,2017
742,False,airways,July,256910,202,Financial problems of company leading to interrupted supplies,52538,2005
243,True,airways,March,130541,118,Strike of workers,5201,2009
156,False,water,June,277517,325,Factory shutdown,29363,2002
150,True,road,February,296574,267,Poor inventory control,577,2009
584,True,road,March,513386,305,electricty stoppage,3085,2009
410,False,airways,April,553049,519,Financial problems of company leading to interrupted supplies,45738,2018
110,False,road,December,522158,663,Poor inventory control,45972,2006
202,False,rail,March,531091,591,excessive machine stoppage,1846,2018
396,False,airways,July,165367,228,Raw material low,58329,2011
680,False,road,June,24635,415,Demand Variation,28348,2013
606,False,rail,August,481246,435,electricty stoppage,43062,2013
110,False,road,May,38130,174,Poor Lead time calculation,27637,2012
83,False,road,August,5083,818,Poor Planning,1267,2002
241,True,rail,November,269147,312,Raw material low,1311,2015
876,True,rail,July,285489,317,Poor Planning,44426,2017
365,False,rail,April,898430,339,Strike of workers,29501,2002
639,False,water,September,174502,268,Huge backlog of orders,36046,2017
502,False,water,November,263904,662,Raw material low,3112,2006
582,True,water,June,288278,688,Raw material low,51544,2003
645,True,rail,December,339683,184,Supply Shortages and logistical uncertainties,31046,2005
671,True,rail,April,275908,195,Poor Lead time calculation,20542,2005
564,True,airways,June,90510,362,Supply Shortages and logistical uncertainties,9763,2011
604,True,water,November,658408,569,Huge backlog of orders,39656,2017
85,True,rail,May,83878,929,Financial problems of company leading to interrupted supplies,5600,2016
788,True,airways,February,284969,491,Huge backlog of orders,13544,2016
152,True,road,September,530226,480,Poor Planning,50446,2006
326,False,airways,May,450520,213,Demand Variation,2934,2007
695,False,airways,September,74408,428,Huge backlog of orders,36830,2010
667,True,airways,April,77051,360,material wastage due to over-feeding,3441,2005
410,False,road,April,488736,81,material wastage due to over-feeding,62085,2004
