inventorytofactorydistance,isholiday,modeofdelivery,month,profittocompany,quantity,rootcause,totalweight,year
162,False,road,April,495723,466,Poor Planning,28142,2009
275,True,airways,June,198488,535,Demand Variation,37151,2003
48,True,water,October,267608,552,electricty stoppage,6382,2006
127,False,water,March,250586,417,Transport Delays,22439,2001
429,True,rail,January,410242,547,Poor inventory control,15639,2003
94,False,airways,January,112681,642,Poor inventory control,5921,2013
630,False,road,February,306640,330,Poor inventory control,20236,2011
549,False,rail,March,407731,531,material wastage due to over-feeding,33980,2015
612,True,water,April,45851,286,Supply Shortages and logistical uncertainties,53954,2018
412,False,rail,November,317452,453,Huge backlog of orders,16901,2008
680,False,water,January,696071,411,Huge backlog of orders,47444,2010
292,True,airways,February,96716,768,electricty stoppage,56845,2006
436,True,rail,October,519056,334,excessive machine stoppage,27585,2018
267,True,rail,April,660106,435,Supply Shortages and logistical uncertainties,72219,2012
266,True,water,April,205398,993,Strike of workers,2972,2004
276,True,airways,January,135757,293,Poor inventory control,35252,2018
381,True,water,May,502572,364,Transport Delays,28821,2007
547,True,road,June,563642,493,Poor Planning,17404,2014
345,True,road,December,36137,273,Poor Lead time calculation,66117,2010
143,False,airways,April,95554,432,Raw material low,37550,2015
116,False,water,July,405898,609,electricty stoppage,43777,2011
190,False,airways,March,571602,227,Supply Shortages and logistical uncertainties,20250,2007
567,False,water,February,225863,419,material wastage due to over-feeding,31344,2014
378,True,rail,October,65014,259,Poor inventory control,54999,2001
408,True,airways,September,224706,614,Strike of workers,11135,2009
118,True,water,February,756209,203,Factory shutdown,81085,2013
443,True,rail,September,73916,677,Huge backlog of orders,49568,2004
165,False,airways,August,643346,300,Strike of workers,49897,2014
335,True,rail,April,12438,375,Demand Variation,80229,2005
406,False,road,July,633079,406,faulty plant layout,65663,2011
379,True,water,May,329878,547,electricty stoppage,982,2011
413,False,road,July,33022,462,Poor Planning,5981,2001
286,False,water,January,582846,170,Poor Lead time calculation,72671,2007
216,False,water,October,383907,426,Supply Shortages and logistical uncertainties,17998,2001
245,False,water,June,150319,358,Financial problems of company leading to interrupted supplies,44797,2016
54,False,water,June,644275,526,Poor Lead time calculation,44938,2001
75,False,water,August,687413,504,Huge backlog of orders,63639,2011
297,True,airways,May,156816,325,Poor inventory control,11957,2003
548,True,water,April,89429,474,Poor Planning,7002,2016
105,True,road,October,229030,195,Transport Delays,58996,2002
126,True,water,April,388887,835,Supply Shortages and logistical uncertainties,4750,2012
505,True,rail,August,681080,551,Poor inventory control,54463,2013
571,False,rail,September,277478,447,Demand Variation,42156,2018
300,False,water,February,730696,140,Supply Shortages and logistical uncertainties,43844,2008
544,False,road,November,334105,722,Strike of workers,9775,2011
240,False,rail,December,11318,124,Raw material low,7794,2013
553,False,rail,August,314361,53,Poor Planning,13730,2008
302,False,road,December,314705,362,Poor Lead time calculation,57327,2004
247,True,airways,October,86056,199,faulty plant layout,56587,2010
505,True,airways,September,252650,122,excessive machine stoppage,40548,2008
516,False,rail,July,33752,86,material wastage due to over-feeding,17185,2009
171,False,airways,April,44435,173,Raw material low,48263,2002
79,False,water,August,28092,60,material wastage due to over-feeding,1757,2013
111,True,road,January,445471,172,material wastage due to over-feeding,29754,2005
551,True,airways,September,494045,802,Strike of workers,409,2005
706,False,road,August,21579,445,Supply Shortages and logistical uncertainties,16882,2011
134,False,water,September,466877,676,excessive machine stoppage,56370,2012
58,True,water,January,81582,446,excessive machine stoppage,1459,2015
253,True,airways,March,60526,255,Supply Shortages and logistical uncertainties,18616,2007
599,False,road,March,430910,390,Demand Variation,3896,2017
114,False,airways,December,254224,175,faulty plant layout,32654,2010
253,False,road,June,465336,499,Financial problems of company leading to interrupted supplies,32291,2009
404,True,road,August,337528,537,Strike of workers,63733,2014
429,True,rail,February,421970,280,Supply Shortages and logistical uncertainties,39717,2010
343,True,road,March,499636,641,Financial problems of company leading to interrupted supplies,48962,2016
103,False,road,March,269941,392,Transport Delays,60871,2003
348,True,road,June,636925,429,Huge backlog of orders,10931,2014
294,False,airways,September,405441,394,Financial problems of company leading to interrupted supplies,42752,2009
253,False,rail,March,690127,272,Financial problems of company leading to interrupted supplies,8101,2002
421,False,road,September,606436,208,material wastage due to over-feeding,42265,2007
363,True,road,August,489680,478,faulty plant layout,70143,2002
167,True,road,March,268460,228,Supply Shortages and logistical uncertainties,14591,2002
281,False,rail,June,814537,238,Poor Lead time calculation,29072,2004
110,False,water,March,177857,75,Demand Variation,2833,2006
463,True,water,November,168396,394,faulty plant layout,57728,2010
500,False,road,September,118539,580,Factory shutdown,35776,2015
73,True,airways,September,991806,316,Poor inventory control,70680,2010
133,True,water,October,266156,365,Strike of workers,46455,2018
659,False,water,September,434274,123,Financial problems of company leading to interrupted supplies,37736,2010
207,False,rail,June,128704,125,Factory shutdown,53860,2017
389,True,road,April,421660,642,Transport Delays,48263,2014
244,False,airways,January,644232,211,excessive machine stoppage,41575,2002
342,True,water,December,868255,99,Raw material low,68030,2005
204,True,rail,June,307932,381,faulty plant layout,25321,2016
