inventorytofactorydistance,isholiday,modeofdelivery,month,profittocompany,quantity,rootcause,totalweight,year
116,True,rail,February,151890,390,material wastage due to over-feeding,55424,2011
115,False,water,March,469609,612,Supply Shortages and logistical uncertainties,58587,2011
293,False,airways,July,450958,539,Factory shutdown,956,2014
370,False,airways,October,110112,798,Transport Delays,97854,2007
472,False,airways,July,219565,208,Huge backlog of orders,90662,2014
54,False,water,February,861520,328,Transport Delays,2714,2006
130,False,rail,October,307273,325,Poor Planning,52528,2012
389,True,airways,November,53206,474,Demand Variation,40421,2003
222,False,road,February,196011,286,Supply Shortages and logistical uncertainties,13781,2009
198,False,water,August,285489,118,faulty plant layout,85542,2016
472,False,road,December,501366,81,Demand Variation,15425,2011
259,True,water,February,280713,502,material wastage due to over-feeding,67919,2014
784,True,airways,March,259006,156,Poor inventory control,1211,2011
90,True,water,November,638632,737,Poor Planning,12055,2004
120,False,airways,September,553869,397,electricty stoppage,12620,2003
374,False,airways,August,274393,325,Transport Delays,6804,2009
299,True,rail,May,419708,142,Poor Lead time calculation,7724,2015
195,False,airways,May,220449,801,Strike of workers,68126,2012
463,False,airways,October,621633,995,Raw material low,8196,2008
604,True,rail,January,415679,132,excessive machine stoppage,43125,2007
850,True,airways,July,483214,453,Supply Shortages and logistical uncertainties,46552,2003
49,True,rail,August,196777,512,faulty plant layout,9689,2005
123,False,road,February,475840,142,Supply Shortages and logistical uncertainties,63141,2012
121,False,airways,February,567423,160,Strike of workers,9411,2013
854,True,rail,September,848621,148,Demand Variation,58329,2015
129,False,rail,March,33608,142,Factory shutdown,16840,2010
659,True,airways,December,284376,430,Supply Shortages and logistical uncertainties,8496,2012
350,True,water,November,805929,175,faulty plant layout,16890,2010
347,False,water,June,223374,343,Huge backlog of orders,49705,2009
322,False,airways,February,168112,347,Raw material low,46829,2009
495,False,water,July,699892,292,Strike of workers,37181,2004
292,False,road,February,564002,381,Financial problems of company leading to interrupted supplies,3254,2015
248,False,water,July,157565,203,faulty plant layout,18951,2017
274,True,airways,March,208110,306,Huge backlog of orders,3210,2018
982,False,water,September,636099,247,Strike of workers,75843,2002
504,True,road,July,198045,446,material wastage due to over-feeding,9835,2014
354,False,airways,September,682295,421,faulty plant layout,41528,2014
264,True,water,July,621647,433,Poor Planning,34656,2018
79,True,airways,November,426614,444,material wastage due to over-feeding,29817,2003
293,True,airways,July,438542,318,Demand Variation,13239,2002
295,True,rail,July,563545,246,Supply Shortages and logistical uncertainties,62060,2017
406,False,water,November,734251,137,Financial problems of company leading to interrupted supplies,37499,2004
370,True,rail,November,151472,159,Demand Variation,41564,2010
112,True,road,March,234633,586,electricty stoppage,13625,2004
269,False,road,October,312325,438,Raw material low,66710,2008
97,True,airways,May,529467,411,Factory shutdown,57705,2016
375,True,airways,March,464673,427,Demand Variation,9226,2011
461,True,water,January,170824,490,Strike of workers,4249,2014
591,False,water,July,613567,518,Huge backlog of orders,48952,2010
143,False,road,July,459392,294,excessive machine stoppage,41079,2015
164,False,road,July,729608,316,material wastage due to over-feeding,81406,2014
514,True,road,June,11101,286,Huge backlog of orders,15631,2008
275,False,airways,September,235512,443,Poor Planning,17230,2003
805,False,water,March,520791,324,Huge backlog of orders,84213,2015
393,False,road,January,734251,178,material wastage due to over-feeding,57092,2016
517,True,water,December,213209,173,Demand Variation,28086,2001
982,False,water,January,447912,97,Poor inventory control,9473,2004
127,False,airways,July,227662,219,Poor Planning,46667,2008
333,False,airways,February,705003,513,excessive machine stoppage,47867,2005
113,False,airways,March,207848,595,excessive machine stoppage,35423,2015
242,False,rail,February,106677,268,Demand Variation,31511,2016
193,True,road,April,171129,117,Raw material low,37098,2002
401,False,road,November,930145,489,Poor Lead time calculation,44102,2004
479,True,water,October,391913,777,excessive machine stoppage,6717,2015
450,True,water,December,640165,392,Transport Delays,8480,2014
171,False,water,December,293114,575,material wastage due to over-feeding,42516,2007
665,True,road,October,617399,411,Strike of workers,19897,2018
315,False,road,December,583414,65,Strike of workers,42435,2012
201,True,airways,June,905770,203,Huge backlog of orders,15024,2011
417,False,road,August,645095,164,electricty stoppage,22567,2017
394,False,airways,April,186895,566,material wastage due to over-feeding,23140,2007
417,False,airways,September,56534,229,Supply Shortages and logistical uncertainties,261,2005
848,False,water,September,239549,145,Supply Shortages and logistical uncertainties,77795,2004
335,False,airways,May,272541,710,Poor Lead time calculation,48818,2013
336,False,water,July,222456,621,Poor inventory control,64661,2005
403,False,rail,September,121475,87,Poor inventory control,25090,2006
428,True,airways,August,474999,168,Poor inventory control,24591,2017
650,False,rail,December,814399,496,material wastage due to over-feeding,84469,2007
98,False,rail,January,465162,412,Demand Variation,54545,2015
360,False,water,June,618790,225,Raw material low,6258,2014
537,False,rail,January,125712,728,Factory shutdown,47285,2003
66,True,airways,July,444975,210,Poor Planning,40478,2009
105,True,rail,December,666899,83,Poor Lead time calculation,12979,2018
243,True,rail,April,139243,318,Poor Lead time calculation,21817,2012
401,True,airways,July,509991,790,electricty stoppage,5082,2012
220,False,road,March,373471,185,Poor inventory control,9579,2018
141,True,airways,September,408109,454,Huge backlog of orders,40094,2005
105,False,rail,December,656185,330,Transport Delays,52662,2006
285,True,rail,May,195373,85,Supply Shortages and logistical uncertainties,18493,2004
794,True,road,September,424480,652,electricty stoppage,839,2009
273,True,road,June,538277,244,electricty stoppage,35596,2005
550,True,road,March,262841,433,electricty stoppage,68418,2011
293,True,airways,February,117251,473,electricty stoppage,17277,2010
542,False,airways,May,138238,552,Financial problems of company leading to interrupted supplies,14721,2018
64,True,water,February,372086,480,Financial problems of company leading to interrupted supplies,53443,2010
257,True,road,December,6305,402,faulty plant layout,1902,2016
546,True,airways,July,526685,257,material wastage due to over-feeding,18978,2007
186,True,water,March,39306,250,Demand Variation,46987,2005
216,True,road,November,64589,680,Financial problems of company leading to interrupted supplies,85599,2007
227,True,road,January,273856,791,material wastage due to over-feeding,3549,2004
540,False,road,May,456068,136,Demand Variation,14923,2014
368,False,rail,March,635568,666,Demand Variation,52141,2014
211,True,airways,August,407218,285,Financial problems of company leading to interrupted supplies,20976,2008
615,False,rail,January,275098,57,Raw material low,29637,2006
337,True,water,July,76179,68,Poor inventory control,34215,2010
215,True,airways,July,212216,298,Factory shutdown,25030,2001
54,False,water,December,274852,438,Strike of workers,13050,2016
824,True,water,February,673641,629,electricty stoppage,4923,2003
301,True,road,January,135570,176,Poor Planning,51692,2008
348,True,airways,December,502960,478,material wastage due to over-feeding,41528,2010
305,False,rail,February,920678,982,material wastage due to over-feeding,15203,2004
238,True,water,March,223984,333,faulty plant layout,35703,2016
315,True,water,December,746476,199,Poor inventory control,46813,2014
525,True,water,November,584546,375,Factory shutdown,35413,2013
782,False,road,September,397883,582,Raw material low,53583,2015
630,True,road,February,172589,413,Financial problems of company leading to interrupted supplies,37382,2010
592,False,airways,September,361362,747,Huge backlog of orders,41757,2015
405,False,road,March,260151,207,faulty plant layout,5467,2017
470,True,airways,December,378162,184,Poor inventory control,53056,2004
70,False,airways,November,309589,342,Demand Variation,43721,2012
220,False,road,June,298025,647,Financial problems of company leading to interrupted supplies,38265,2016
429,False,water,March,545581,169,faulty plant layout,68371,2005
276,False,road,October,347199,167,Poor inventory control,32969,2014
446,True,road,October,664068,469,excessive machine stoppage,30088,2007
852,True,airways,April,611178,106,Supply Shortages and logistical uncertainties,49108,2002
460,False,water,October,557628,566,Financial problems of company leading to interrupted supplies,15586,2010
275,True,airways,November,146197,256,Raw material low,23867,2004
188,False,water,March,198045,793,Factory shutdown,39864,2008
430,False,rail,March,421785,61,Poor Planning,22379,2007
508,False,road,November,204165,539,Transport Delays,17860,2015
335,False,road,December,477568,233,Supply Shortages and logistical uncertainties,19328,2008
461,False,airways,November,524874,602,Strike of workers,17185,2013
552,True,rail,July,469727,702,Poor Planning,54063,2004
515,True,road,August,294977,392,excessive machine stoppage,15596,2009
185,False,airways,August,396587,125,electricty stoppage,42032,2018
140,False,airways,February,325423,267,material wastage due to over-feeding,30592,2018
525,False,water,March,653624,238,Poor Planning,59530,2003
466,False,rail,August,382802,157,material wastage due to over-feeding,47840,2015
110,True,road,March,561251,400,Poor inventory control,2153,2007
481,True,road,July,640165,226,electricty stoppage,39433,2003
467,False,water,April,428568,307,Raw material low,49647,2001
476,False,rail,June,163398,434,Strike of workers,12378,2016
267,False,road,November,398090,716,Transport Delays,14065,2001
331,False,water,July,474884,838,Financial problems of company leading to interrupted supplies,36340,2003
587,False,water,November,203123,159,Transport Delays,10946,2006
181,False,road,March,521733,64,Poor inventory control,44689,2011
259,True,airways,November,636952,369,Strike of workers,23073,2003
310,True,airways,October,131402,435,material wastage due to over-feeding,12021,2017
