inventorytofactorydistance,isholiday,modeofdelivery,month,profittocompany,quantity,rootcause,totalweight,year
112,False,water,November,537102,329,faulty plant layout,27138,2003
363,True,road,June,486029,583,Financial problems of company leading to interrupted supplies,13453,2014
46,False,airways,February,655653,251,excessive machine stoppage,20976,2011
315,True,rail,June,751168,301,Transport Delays,30927,2017
336,True,airways,November,644435,571,Huge backlog of orders,15097,2004
274,True,road,June,578279,446,Raw material low,37085,2006
170,True,water,March,225991,350,Strike of workers,28888,2003
357,False,road,October,432262,89,Factory shutdown,42546,2011
497,True,road,November,25543,507,faulty plant layout,78675,2008
370,False,water,May,488185,631,Huge backlog of orders,56839,2011
359,False,airways,December,486132,636,faulty plant layout,23438,2010
88,True,airways,April,275098,147,material wastage due to over-feeding,3896,2013
405,False,airways,December,43104,386,Transport Delays,35441,2016
96,False,road,November,298901,371,Strike of workers,33352,2014
92,False,road,November,506775,398,Factory shutdown,51511,2008
186,True,airways,February,30057,639,Poor inventory control,34810,2013
224,True,rail,February,371162,124,Demand Variation,14054,2001
602,True,water,October,213929,211,excessive machine stoppage,10766,2011
462,True,airways,January,231872,191,excessive machine stoppage,4758,2001
472,True,water,January,758487,652,Poor Planning,14927,2002
398,True,road,January,560873,527,Huge backlog of orders,40674,2001
58,True,road,August,492335,521,material wastage due to over-feeding,17185,2011
567,False,airways,June,332702,189,Financial problems of company leading to interrupted supplies,10293,2015
315,False,rail,December,835758,488,faulty plant layout,17659,2011
383,False,water,May,286153,617,Demand Variation,20416,2012
484,False,water,June,367886,811,Poor inventory control,42607,2018
75,True,rail,April,369088,554,Transport Delays,17610,2014
308,False,road,May,224136,259,Poor Planning,36272,2006
292,True,road,August,485226,430,Supply Shortages and logistical uncertainties,25714,2016
634,True,road,January,241911,398,Poor Planning,68367,2015
269,True,water,February,434371,204,Demand Variation,9606,2005
229,False,rail,October,195039,589,Poor Planning,26391,2011
388,True,airways,November,659328,459,Huge backlog of orders,45512,2013
70,True,rail,November,274029,554,material wastage due to over-feeding,68268,2017
210,False,road,February,662496,788,Demand Variation,32178,2013
255,False,airways,October,201897,375,Poor Planning,2054,2017
335,False,road,March,439359,207,Huge backlog of orders,8875,2012
284,False,rail,August,336102,163,Huge backlog of orders,21143,2005
712,False,road,August,328456,456,Supply Shortages and logistical uncertainties,32147,2012
492,True,water,August,264694,165,Poor Lead time calculation,32857,2016
740,False,road,August,303142,670,Supply Shortages and logistical uncertainties,37903,2001
263,True,water,August,321877,241,Strike of workers,25065,2014
878,False,airways,December,586512,376,faulty plant layout,43852,2004
785,True,airways,March,564025,177,Financial problems of company leading to interrupted supplies,51915,2001
292,True,road,October,193389,58,material wastage due to over-feeding,72897,2018
144,True,water,August,509354,435,Supply Shortages and logistical uncertainties,15810,2015
518,False,airways,December,398834,212,excessive machine stoppage,12703,2017
104,True,rail,March,208130,531,Raw material low,29211,2011
395,True,road,April,372903,160,faulty plant layout,37215,2010
593,True,water,October,462321,276,Demand Variation,14127,2014
514,True,airways,October,222573,972,faulty plant layout,33662,2005
147,False,road,February,360846,306,Supply Shortages and logistical uncertainties,22815,2005
115,True,road,November,563432,402,Demand Variation,3570,2004
565,False,rail,May,222581,447,Transport Delays,28468,2006
108,True,water,December,464658,102,excessive machine stoppage,27083,2005
129,True,road,July,518318,224,Poor Planning,34523,2009
216,False,road,April,338383,241,faulty plant layout,47041,2001
407,True,road,November,448988,183,Financial problems of company leading to interrupted supplies,71589,2006
555,True,road,February,483312,540,Transport Delays,46533,2009
500,True,rail,December,204930,263,Raw material low,32950,2009
66,True,road,May,545480,198,excessive machine stoppage,46289,2017
292,False,water,August,473541,344,Poor inventory control,41185,2012
95,True,road,September,777518,859,Poor inventory control,69002,2010
268,True,airways,November,67784,88,excessive machine stoppage,35441,2007
229,True,water,March,455035,367,Factory shutdown,16883,2016
592,True,airways,June,938380,152,faulty plant layout,75945,2001
276,False,water,April,620906,426,material wastage due to over-feeding,65203,2008
596,False,airways,March,57028,260,Supply Shortages and logistical uncertainties,16309,2006
554,True,airways,December,71934,169,Poor Planning,43398,2018
500,True,airways,March,194199,545,Supply Shortages and logistical uncertainties,31230,2011
404,False,water,June,470354,511,Transport Delays,11200,2012
72,False,water,March,597238,261,Poor inventory control,22980,2010
36,True,water,February,765393,293,material wastage due to over-feeding,7296,2016
65,True,airways,August,100867,436,Poor Planning,37146,2006
246,False,road,November,28818,207,Poor Planning,37151,2017
396,False,road,March,316813,104,Transport Delays,4249,2017
738,False,airways,March,554051,496,excessive machine stoppage,18423,2006
460,False,water,August,229510,67,faulty plant layout,39066,2002
449,True,road,August,18151,701,Supply Shortages and logistical uncertainties,46341,2012
190,True,airways,October,161058,599,Transport Delays,18600,2015
87,True,airways,March,612091,566,Supply Shortages and logistical uncertainties,2403,2014
92,True,road,July,454365,907,Huge backlog of orders,55565,2006
287,True,rail,February,455629,573,Strike of workers,87806,2005
168,False,rail,February,116993,89,excessive machine stoppage,8875,2008
211,False,rail,April,147161,714,Demand Variation,55837,2016
547,False,airways,February,341449,268,Transport Delays,23607,2012
763,False,water,June,309589,365,Poor inventory control,80429,2012
130,False,water,February,612270,777,Supply Shortages and logistical uncertainties,58116,2014
199,True,road,January,38166,422,material wastage due to over-feeding,82515,2009
262,False,rail,September,528124,264,Financial problems of company leading to interrupted supplies,57116,2012
224,False,water,August,804240,530,material wastage due to over-feeding,43185,2009
285,False,water,January,275495,859,electricty stoppage,58230,2003
61,False,airways,August,648002,462,Demand Variation,201,2005
71,False,rail,November,275329,169,faulty plant layout,2140,2011
194,False,road,February,85017,139,Supply Shortages and logistical uncertainties,23004,2004
257,False,road,November,563642,68,excessive machine stoppage,17465,2010
296,False,water,March,881954,563,Poor inventory control,6834,2006
544,False,airways,May,466965,233,Poor Planning,475,2005
288,False,airways,July,49271,128,Poor Planning,21336,2008
222,False,water,August,348709,71,material wastage due to over-feeding,14233,2014
397,True,road,August,294250,694,Financial problems of company leading to interrupted supplies,65030,2016
133,False,rail,June,372017,621,Financial problems of company leading to interrupted supplies,34480,2005
523,True,water,March,201469,427,material wastage due to over-feeding,46745,2008
167,True,water,May,238126,38,Factory shutdown,24766,2015
579,False,airways,January,759857,736,faulty plant layout,59169,2016
303,True,airways,September,227956,164,Strike of workers,3431,2018
179,False,water,August,258803,65,Demand Variation,18032,2006
323,True,airways,March,680691,594,Poor Planning,31527,2016
105,True,road,May,411603,40,faulty plant layout,49900,2018
525,True,rail,August,21381,94,electricty stoppage,25355,2010
545,False,road,December,268365,618,Supply Shortages and logistical uncertainties,57360,2007
389,False,airways,May,547347,196,Strike of workers,44821,2017
341,True,water,November,365283,440,Huge backlog of orders,8860,2011
477,False,water,June,699564,578,material wastage due to over-feeding,18814,2008
283,True,airways,December,77934,296,excessive machine stoppage,24303,2016
572,False,water,October,116418,341,Factory shutdown,51044,2011
254,False,rail,December,640038,189,Transport Delays,60042,2014
893,False,road,November,464177,147,Demand Variation,21328,2014
65,False,road,August,400236,99,Poor Lead time calculation,14093,2006
475,False,road,May,403671,84,excessive machine stoppage,94350,2009
615,True,road,November,457069,46,Financial problems of company leading to interrupted supplies,49475,2007
