inventorytofactorydistance,isholiday,modeofdelivery,month,profittocompany,quantity,rootcause,totalweight,year
71,True,airways,February,14951,291,Transport Delays,54056,2007
140,False,water,October,47908,225,Strike of workers,5353,2003
647,False,rail,July,465310,513,Financial problems of company leading to interrupted supplies,19588,2014
731,False,road,October,417306,468,Demand Variation,450,2006
315,False,rail,November,138792,514,faulty plant layout,23019,2009
493,False,airways,June,346880,177,Poor Planning,17527,2011
181,False,airways,October,513300,57,Poor inventory control,70682,2014
906,True,water,September,275098,83,Factory shutdown,36648,2007
288,False,road,May,71659,659,Financial problems of company leading to interrupted supplies,33591,2006
481,False,water,February,623348,741,excessive machine stoppage,46542,2001
113,False,rail,February,247112,481,Factory shutdown,7748,2006
522,False,water,September,410166,324,faulty plant layout,51291,2001
458,False,road,September,341203,452,Raw material low,68289,2007
92,False,road,April,227143,624,Huge backlog of orders,16069,2016
356,False,rail,June,144441,456,material wastage due to over-feeding,9383,2009
420,True,rail,October,132763,353,excessive machine stoppage,47287,2003
499,False,airways,November,823772,400,Poor Lead time calculation,41054,2007
625,True,road,October,545810,339,faulty plant layout,23905,2010
398,False,airways,October,361362,754,Poor Planning,40744,2001
606,False,airways,July,139941,259,Strike of workers,43740,2016
87,True,road,December,399862,527,Poor inventory control,7473,2005
178,True,road,May,223890,636,Strike of workers,27141,2009
329,True,water,November,378442,238,Poor Lead time calculation,10138,2018
207,False,airways,December,295301,778,Demand Variation,39414,2006
252,True,airways,February,510093,280,Factory shutdown,35015,2011
169,True,water,February,244691,154,Strike of workers,36785,2015
552,True,rail,August,81424,96,Raw material low,60749,2003
117,False,airways,June,583395,539,Poor Planning,6535,2005
115,False,water,June,37512,437,Strike of workers,43366,2015
738,True,airways,February,860840,390,Financial problems of company leading to interrupted supplies,29872,2001
169,False,road,August,561340,54,Supply Shortages and logistical uncertainties,45038,2006
158,True,rail,January,171178,657,Huge backlog of orders,46099,2016
337,True,rail,December,485002,246,Factory shutdown,9099,2014
680,False,rail,February,10408,157,Poor Planning,38586,2017
230,False,road,October,695149,154,Poor inventory control,41955,2016
148,True,airways,October,190083,157,Transport Delays,5007,2007
562,False,water,January,677107,651,faulty plant layout,30272,2007
103,True,water,December,601638,230,Poor Lead time calculation,73130,2008
667,True,water,May,438542,71,Poor inventory control,66101,2008
163,False,water,January,450443,738,material wastage due to over-feeding,9545,2005
460,True,water,March,396789,63,Factory shutdown,35090,2016
636,True,water,September,191824,485,Huge backlog of orders,24226,2006
57,False,rail,January,169192,334,Poor Planning,12149,2003
126,False,water,October,73026,249,electricty stoppage,57030,2007
424,False,water,September,691180,249,Demand Variation,28619,2017
626,False,airways,March,331357,66,excessive machine stoppage,15518,2011
345,False,airways,June,41837,964,Demand Variation,42775,2004
179,True,airways,March,316993,882,Raw material low,4219,2006
690,False,road,March,541151,977,Poor inventory control,48349,2006
77,False,airways,March,557390,589,Raw material low,12055,2016
171,True,rail,October,28820,612,Transport Delays,6001,2003
396,True,rail,November,549950,369,Poor Lead time calculation,36586,2009
500,False,rail,August,136503,215,electricty stoppage,39377,2012
54,False,road,December,117546,682,Demand Variation,65840,2017
541,True,water,August,433989,432,electricty stoppage,1194,2012
356,True,road,February,349077,433,Poor Lead time calculation,55299,2011
625,False,rail,March,283134,126,electricty stoppage,56401,2002
162,True,water,April,840432,281,material wastage due to over-feeding,41347,2004
471,False,rail,May,453119,586,electricty stoppage,53771,2005
758,True,rail,July,2141,86,faulty plant layout,38669,2013
225,False,rail,March,776122,84,faulty plant layout,15897,2017
93,False,road,February,457140,236,Poor inventory control,42719,2008
806,False,airways,October,91456,628,faulty plant layout,43398,2007
302,True,airways,April,446991,268,Financial problems of company leading to interrupted supplies,39433,2003
80,True,road,September,353362,286,Poor inventory control,35596,2014
419,False,road,June,347464,493,material wastage due to over-feeding,36667,2011
135,False,road,January,818672,261,Poor inventory control,16342,2004
92,True,road,February,714094,567,material wastage due to over-feeding,23297,2018
244,False,rail,February,113002,446,Demand Variation,39885,2007
282,True,rail,January,648519,543,material wastage due to over-feeding,54368,2016
323,True,airways,February,508370,80,excessive machine stoppage,20001,2004
273,True,water,September,588434,374,Financial problems of company leading to interrupted supplies,8152,2002
577,True,road,December,201469,227,Huge backlog of orders,19768,2018
438,False,rail,July,117823,41,Poor Planning,5981,2002
640,False,water,April,554460,206,Raw material low,19009,2004
265,False,rail,September,254805,522,Poor Lead time calculation,23297,2014
276,True,airways,February,320475,412,Factory shutdown,59261,2010
676,True,airways,July,432973,43,Raw material low,4875,2006
278,True,rail,December,262783,62,Financial problems of company leading to interrupted supplies,11542,2012
