inventorytofactorydistance,isholiday,modeofdelivery,month,profittocompany,quantity,rootcause,totalweight,year
341,False,airways,June,322863,165,Factory shutdown,69229,2004
737,True,road,February,77679,267,Raw material low,85531,2005
582,False,rail,August,331010,360,Huge backlog of orders,38841,2016
284,False,water,January,216872,264,Raw material low,32222,2001
258,True,rail,November,48817,117,electricty stoppage,62829,2016
118,False,rail,July,800744,370,material wastage due to over-feeding,1218,2017
189,True,road,February,791363,272,Strike of workers,23574,2018
291,False,rail,December,821431,66,material wastage due to over-feeding,33047,2003
351,True,road,May,624040,52,Raw material low,62944,2007
649,True,rail,August,502451,308,Factory shutdown,24557,2002
317,True,airways,January,62253,329,Supply Shortages and logistical uncertainties,18565,2014
599,True,road,October,142357,410,Poor Lead time calculation,61334,2004
720,True,road,January,459619,599,Strike of workers,35931,2002
370,True,water,November,414717,372,electricty stoppage,81050,2013
382,False,airways,June,684765,512,Raw material low,20663,2014
411,True,rail,February,366627,555,Financial problems of company leading to interrupted supplies,10515,2009
510,True,road,January,106707,720,Strike of workers,17522,2001
637,False,road,November,586040,195,excessive machine stoppage,33595,2017
92,True,airways,December,735417,165,Raw material low,15639,2003
581,True,road,June,588777,229,excessive machine stoppage,19398,2013
526,False,airways,July,451529,396,Demand Variation,9935,2003
482,False,airways,November,147300,125,Huge backlog of orders,13937,2013
136,True,water,September,403652,412,Poor inventory control,15553,2002
660,True,water,February,856860,465,excessive machine stoppage,56632,2005
622,True,airways,August,417637,128,material wastage due to over-feeding,40195,2004
180,False,airways,November,43038,501,Demand Variation,26186,2003
147,True,airways,November,63762,260,Strike of workers,48397,2015
253,False,rail,July,172018,536,Huge backlog of orders,53118,2006
463,False,rail,July,335563,115,Poor Lead time calculation,16276,2002
722,True,airways,April,46949,333,Poor Planning,34437,2003
277,False,water,December,175028,504,Demand Variation,53751,2008
682,True,rail,August,336802,707,Poor Lead time calculation,91594,2015
446,True,rail,May,493073,176,Raw material low,36342,2012
612,True,airways,November,241991,192,Financial problems of company leading to interrupted supplies,68289,2017
636,False,airways,April,143794,60,faulty plant layout,20525,2018
457,True,airways,February,114735,157,Poor Lead time calculation,31952,2001
157,False,water,February,881382,199,material wastage due to over-feeding,25615,2005
636,True,water,July,25498,759,Strike of workers,11742,2013
563,False,rail,October,577682,680,Poor Lead time calculation,32444,2006
300,False,rail,October,5576,316,Factory shutdown,43881,2014
316,True,road,May,54208,289,Supply Shortages and logistical uncertainties,40551,2004
112,False,water,August,220968,193,Poor Planning,6769,2016
233,True,water,November,459549,382,electricty stoppage,70020,2018
929,True,rail,June,455704,406,Poor inventory control,557,2009
456,True,rail,July,493061,48,Poor Lead time calculation,4299,2003
505,False,water,March,335455,103,Demand Variation,75477,2005
66,True,rail,August,8223,679,Poor inventory control,53002,2014
402,False,rail,July,27100,205,Poor Planning,35211,2006
288,False,rail,January,325886,91,Huge backlog of orders,20621,2010
751,False,road,October,261394,760,Strike of workers,26965,2016
366,False,water,March,364114,70,excessive machine stoppage,2630,2007
280,True,rail,June,400397,166,faulty plant layout,7712,2004
456,False,airways,December,765393,431,Financial problems of company leading to interrupted supplies,1361,2013
277,False,water,February,735200,995,material wastage due to over-feeding,13027,2005
519,True,road,November,547743,142,Factory shutdown,27504,2008
123,False,road,November,363637,329,Strike of workers,25097,2013
122,True,rail,February,619180,71,Supply Shortages and logistical uncertainties,9415,2008
572,False,road,August,576953,348,Huge backlog of orders,35203,2003
461,False,water,September,13068,344,Transport Delays,31337,2009
60,True,road,March,59810,421,excessive machine stoppage,63800,2004
166,False,airways,September,221018,497,Raw material low,10792,2013
523,True,airways,September,662841,358,Transport Delays,81528,2013
484,False,airways,April,266686,372,Financial problems of company leading to interrupted supplies,46341,2002
798,True,airways,August,262504,397,faulty plant layout,17337,2005
537,True,airways,May,293588,199,Poor inventory control,56038,2014
219,True,road,March,44468,590,Factory shutdown,18736,2004
730,False,airways,September,263936,587,material wastage due to over-feeding,48624,2003
151,True,water,February,117546,89,material wastage due to over-feeding,48621,2011
459,True,water,November,283999,552,Strike of workers,14397,2010
275,True,water,May,846674,446,Poor Planning,84000,2014
766,True,rail,April,252827,276,Poor Lead time calculation,72671,2009
898,False,rail,April,472620,332,Transport Delays,6991,2011
