daystilldelivery,inventorytofactorydistance,isholiday,manufacturingtime,modeofdelivery,month,profittocompany,quantity,rootcause,year
6,1093,False,7,rail,June,1699,15,Strike of workers,2015
0,254,False,0,airways,May,284,62,Factory shutdown,2008
3,993,True,3,water,April,1579,52,Raw material low,2007
27,463,True,37,road,January,693,49,excessive machine stoppage,2015
1,4924,False,6,rail,April,3524,458,Factory shutdown,2017
9,892,True,7,water,June,6649,318,Poor inventory control,2011
0,555,True,7,road,June,2546,121,faulty plant layout,2015
5,827,True,2,airways,March,901,6,Financial problems of company leading to interrupted supplies,2003
9,305,False,4,rail,March,8959,17,Poor Lead time calculation,2017
3,249,False,4,road,August,1067,39,faulty plant layout,2008
34,650,False,12,water,July,979,275,Financial problems of company leading to interrupted supplies,2002
1,703,True,3,airways,December,1151,62,Huge backlog of orders,2012
13,1839,True,0,airways,March,2296,24,Financial problems of company leading to interrupted supplies,2012
2,798,False,1,rail,October,222,83,Strike of workers,2015
5,242,False,4,road,July,5568,156,Poor inventory control,2017
12,1445,True,6,rail,October,780,63,Supply Shortages and logistical uncertainties,2016
16,150,True,47,water,January,1493,54,Supply Shortages and logistical uncertainties,2001
4,40,False,11,water,October,1500,165,Poor Planning,2015
11,966,False,2,airways,January,1187,54,Poor Lead time calculation,2010
27,594,True,6,road,November,1027,534,Poor Lead time calculation,2008
1,2904,False,5,airways,April,1120,17,electricty stoppage,2013
3,1008,True,23,water,April,1049,416,electricty stoppage,2017
3,801,False,3,water,September,2194,25,excessive machine stoppage,2016
4,109,True,3,water,January,328,20,Poor inventory control,2015
2,771,True,6,airways,December,1283,138,Poor inventory control,2014
5,845,False,3,airways,February,673,91,Poor Planning,2007
22,1254,True,2,road,February,776,6,material wastage due to over-feeding,2010
3,3078,True,0,water,April,1242,52,Demand Variation,2004
2,2101,False,2,airways,October,1081,35,Poor Lead time calculation,2004
11,578,True,15,airways,December,181,94,material wastage due to over-feeding,2013
1,142,True,44,airways,July,156,105,Transport Delays,2011
11,911,True,6,rail,March,7335,7,Poor Lead time calculation,2016
21,1994,True,6,rail,June,741,111,Financial problems of company leading to interrupted supplies,2018
2,1418,False,3,rail,February,8044,94,Huge backlog of orders,2003
10,639,False,5,water,April,285,38,Huge backlog of orders,2005
23,823,False,3,rail,March,4287,584,excessive machine stoppage,2004
7,1557,False,32,airways,December,1624,98,Demand Variation,2011
5,1392,False,2,airways,January,201,70,faulty plant layout,2008
4,346,False,1,rail,July,1867,12,Poor inventory control,2012
3,309,False,5,airways,December,394,21,Factory shutdown,2017
12,139,True,15,road,September,1679,229,Transport Delays,2006
1,392,True,3,rail,July,1906,93,excessive machine stoppage,2003
4,122,False,34,water,November,578,328,excessive machine stoppage,2008
6,296,True,6,airways,February,509,127,Poor Lead time calculation,2001
9,8653,False,5,road,September,3741,46,Poor inventory control,2006
3,145,False,2,water,October,453,29,Huge backlog of orders,2010
4,819,False,7,road,January,1059,435,Raw material low,2017
33,2495,True,2,airways,September,1995,28,Supply Shortages and logistical uncertainties,2001
0,644,True,43,rail,April,1234,7,Transport Delays,2002
6,254,False,7,water,August,6605,52,Poor Planning,2011
4,921,False,6,rail,January,1063,209,Factory shutdown,2004
3,1166,True,4,water,January,699,7,Poor Planning,2010
7,1802,False,17,rail,November,471,34,Supply Shortages and logistical uncertainties,2018
1,561,False,7,water,July,2387,120,Raw material low,2015
3,268,True,18,road,May,6418,91,faulty plant layout,2018
4,96,True,6,water,September,1654,366,Financial problems of company leading to interrupted supplies,2018
1,3243,False,10,water,October,1096,170,excessive machine stoppage,2011
4,471,True,8,airways,July,1829,58,Transport Delays,2001
6,472,True,4,road,December,1050,144,Transport Delays,2010
1,2667,True,8,rail,December,3031,414,Factory shutdown,2004
0,461,False,9,water,July,392,247,Poor Lead time calculation,2004
9,674,False,1,water,July,515,245,Huge backlog of orders,2010
