daystilldelivery,inventorytofactorydistance,isholiday,manufacturingtime,modeofdelivery,month,profittocompany,quantity,rootcause,year
1,504,False,4,rail,November,177,122,Demand Variation,2017
2,761,True,1,water,December,114,38,Poor inventory control,2012
2,792,False,5,road,October,300,82,Supply Shortages and logistical uncertainties,2009
11,872,False,3,road,April,423,48,Factory shutdown,2017
0,382,False,4,airways,August,1113,206,Poor inventory control,2008
3,4795,True,2,water,March,8768,193,material wastage due to over-feeding,2002
5,2158,False,3,rail,July,445,23,Factory shutdown,2014
8,368,True,34,rail,March,786,93,Transport Delays,2007
4,1507,False,37,airways,May,4481,238,Poor Planning,2007
4,1240,True,1,water,February,790,37,Raw material low,2012
2,727,False,8,water,February,2005,43,Factory shutdown,2005
3,345,True,5,airways,November,450,244,Supply Shortages and logistical uncertainties,2009
5,1538,False,4,airways,September,540,37,Transport Delays,2004
7,935,False,19,airways,July,617,199,electricty stoppage,2017
28,1764,True,8,rail,May,877,171,Poor Planning,2018
4,4076,False,3,water,March,1614,15,Huge backlog of orders,2007
8,396,False,5,rail,August,1075,441,excessive machine stoppage,2013
7,1127,False,0,rail,January,565,60,electricty stoppage,2012
1,828,True,7,airways,August,774,119,Strike of workers,2002
3,708,True,16,water,April,1025,89,electricty stoppage,2016
23,3404,False,5,rail,February,1092,51,Transport Delays,2013
2,1166,False,9,rail,March,137,65,Supply Shortages and logistical uncertainties,2006
3,398,False,25,rail,October,1602,104,Poor Planning,2010
39,1952,False,0,airways,November,993,84,Poor Lead time calculation,2014
0,369,False,16,water,February,9326,139,Financial problems of company leading to interrupted supplies,2010
6,231,True,0,road,December,528,71,Raw material low,2002
4,284,True,1,water,April,486,165,Poor Lead time calculation,2001
0,1702,True,3,water,September,753,378,Poor Lead time calculation,2014
6,2495,False,3,airways,August,2004,86,Financial problems of company leading to interrupted supplies,2015
7,86,False,1,airways,April,999,25,Supply Shortages and logistical uncertainties,2016
9,1143,False,1,water,April,743,287,Raw material low,2015
1,2052,True,5,water,February,858,369,Poor inventory control,2018
