daystilldelivery,inventorytofactorydistance,isholiday,manufacturingtime,modeofdelivery,month,profittocompany,quantity,rootcause,year
2,234,False,2,road,February,985,64,electricty stoppage,2002
2,410,False,7,airways,April,1011,30,Transport Delays,2004
0,1517,False,0,water,June,506,63,Demand Variation,2005
16,545,False,4,rail,November,263,165,Poor Planning,2018
27,2493,True,12,road,November,1004,347,Factory shutdown,2005
3,274,True,1,rail,May,363,29,Financial problems of company leading to interrupted supplies,2002
4,875,False,41,rail,September,321,125,Poor Planning,2007
2,1099,False,3,road,July,1290,118,Factory shutdown,2013
0,12,True,13,road,October,2445,69,electricty stoppage,2010
13,958,False,2,rail,December,1457,151,Demand Variation,2014
3,2607,True,3,rail,June,574,38,excessive machine stoppage,2012
0,12,True,17,road,June,1418,494,Poor inventory control,2010
0,996,True,6,airways,September,4540,42,Poor inventory control,2015
6,161,False,27,airways,October,1465,12,Poor Lead time calculation,2009
5,2033,False,21,water,December,581,8,Poor Lead time calculation,2014
6,1141,True,1,road,June,834,579,Poor Planning,2016
10,1098,False,2,rail,December,4550,129,Factory shutdown,2003
1,725,True,10,road,February,398,72,Financial problems of company leading to interrupted supplies,2011
3,2307,True,7,road,June,755,127,Poor Lead time calculation,2001
1,1575,False,1,airways,October,756,48,Demand Variation,2012
2,1992,True,5,road,June,1329,57,electricty stoppage,2006
14,586,False,15,airways,November,367,102,Transport Delays,2010
0,613,False,6,road,June,1089,582,electricty stoppage,2009
11,102,True,6,airways,January,589,123,Poor Planning,2015
1,92,True,5,rail,July,3123,366,Raw material low,2018
16,109,True,2,airways,April,1545,537,Factory shutdown,2004
1,362,False,3,road,December,2854,16,Transport Delays,2012
8,6710,True,8,airways,November,456,34,Transport Delays,2012
1,833,False,3,rail,May,699,160,Strike of workers,2001
41,394,False,7,rail,June,954,81,Strike of workers,2018
5,379,True,1,rail,April,746,80,Financial problems of company leading to interrupted supplies,2009
4,1208,True,1,water,September,2066,122,Huge backlog of orders,2014
