daystilldelivery,inventorytofactorydistance,isholiday,manufacturingtime,modeofdelivery,month,profittocompany,quantity,rootcause,year
7,1209,True,4,rail,June,151,64,Raw material low,2001
6,5230,False,49,rail,March,2511,102,Supply Shortages and logistical uncertainties,2004
7,1083,True,3,water,March,789,73,electricty stoppage,2008
1,773,False,5,rail,June,925,71,material wastage due to over-feeding,2008
3,2269,False,0,airways,September,606,192,Demand Variation,2004
19,1646,True,21,road,November,959,101,Demand Variation,2010
2,2065,False,3,rail,April,2404,279,excessive machine stoppage,2010
7,479,True,0,water,December,1440,242,material wastage due to over-feeding,2016
5,4704,True,2,water,February,2110,43,Supply Shortages and logistical uncertainties,2016
21,227,True,3,water,July,961,25,Poor Planning,2009
6,455,False,7,airways,August,2461,167,Huge backlog of orders,2018
19,76,True,4,rail,June,539,264,Transport Delays,2011
10,6585,True,0,water,October,665,289,Demand Variation,2011
2,1538,True,7,water,January,400,29,material wastage due to over-feeding,2007
7,1378,False,42,rail,April,1181,49,faulty plant layout,2004
7,3315,True,25,water,May,1346,104,excessive machine stoppage,2016
10,3580,False,1,rail,February,1110,232,Huge backlog of orders,2016
2,115,False,2,water,July,300,17,Huge backlog of orders,2001
5,1285,False,2,rail,June,1156,25,material wastage due to over-feeding,2004
4,2611,True,6,rail,August,9642,152,Poor Planning,2013
3,2818,True,5,airways,June,982,49,Demand Variation,2011
3,831,False,2,road,December,828,21,material wastage due to over-feeding,2011
5,779,False,0,airways,May,3220,148,Poor Planning,2013
41,676,True,13,airways,June,919,23,Poor Planning,2016
4,500,True,5,road,November,791,368,Poor inventory control,2001
7,351,False,2,road,November,521,16,Factory shutdown,2013
2,4031,False,8,water,June,349,12,Supply Shortages and logistical uncertainties,2002
33,719,False,3,road,July,1018,132,Poor Planning,2016
3,3816,True,26,rail,November,1884,414,Huge backlog of orders,2007
4,406,False,32,airways,May,784,66,Poor inventory control,2005
1,1496,False,2,airways,September,1925,25,material wastage due to over-feeding,2007
4,2436,True,3,road,July,131,345,Strike of workers,2013
10,752,False,8,water,May,782,8,Huge backlog of orders,2012
2,820,True,7,rail,June,821,358,material wastage due to over-feeding,2013
25,451,False,1,road,January,1814,247,Poor Lead time calculation,2008
4,1067,False,3,rail,January,1053,266,Huge backlog of orders,2007
4,4135,False,5,road,August,323,109,Raw material low,2018
2,640,False,6,rail,July,402,18,Factory shutdown,2001
2,540,True,0,water,December,1617,100,Financial problems of company leading to interrupted supplies,2002
3,437,False,15,airways,May,1042,23,Poor Planning,2010
1,2984,False,34,rail,February,784,170,Factory shutdown,2018
4,29,False,4,rail,April,980,62,Supply Shortages and logistical uncertainties,2018
1,1283,False,2,water,November,3778,67,Transport Delays,2003
4,649,True,31,airways,August,999,349,Transport Delays,2014
2,354,False,4,road,September,266,118,Poor Planning,2015
6,9960,False,1,road,January,880,37,Poor Lead time calculation,2013
12,9530,True,2,rail,January,604,197,Factory shutdown,2004
2,433,True,7,airways,December,4406,261,faulty plant layout,2005
5,1697,True,5,airways,November,343,81,Poor Lead time calculation,2016
5,361,True,0,airways,April,1081,173,electricty stoppage,2001
6,104,False,20,water,February,2038,340,Financial problems of company leading to interrupted supplies,2007
3,880,True,2,water,December,2854,29,Factory shutdown,2004
3,1324,True,4,road,June,1969,65,Poor inventory control,2008
5,1705,False,3,road,January,851,47,Poor inventory control,2013
3,9185,True,20,rail,July,353,841,Transport Delays,2005
1,150,True,1,rail,November,1376,405,Poor Lead time calculation,2011
2,837,False,1,rail,October,757,782,Factory shutdown,2014
19,5463,False,0,rail,February,1231,41,electricty stoppage,2011
3,1514,False,48,airways,December,4671,405,Transport Delays,2014
5,483,True,2,rail,September,4002,46,Strike of workers,2014
5,1790,True,3,road,January,3568,131,Raw material low,2009
8,1452,True,7,road,August,1151,38,Demand Variation,2010
16,990,True,3,rail,August,4725,411,electricty stoppage,2005
4,100,True,2,airways,July,334,174,Transport Delays,2003
4,1030,False,11,water,November,2963,297,Poor Lead time calculation,2008
3,4372,True,16,road,April,300,121,Strike of workers,2002
11,979,False,2,water,August,5876,141,Strike of workers,2018
10,9296,True,44,rail,September,327,119,faulty plant layout,2004
2,765,False,31,road,June,1474,74,Transport Delays,2009
2,1181,False,0,water,July,491,46,Poor inventory control,2012
5,1475,True,16,water,April,427,272,Factory shutdown,2002
4,975,True,37,road,August,234,592,Factory shutdown,2012
8,331,False,47,road,July,284,362,Demand Variation,2018
10,404,True,1,road,March,644,93,electricty stoppage,2011
5,372,False,12,rail,December,4494,40,Financial problems of company leading to interrupted supplies,2005
14,648,True,23,rail,May,419,146,Raw material low,2008
9,2135,True,4,airways,May,255,243,material wastage due to over-feeding,2009
8,2462,True,6,road,October,331,29,Poor Planning,2008
7,1656,True,12,road,September,761,172,Transport Delays,2011
3,3900,False,1,rail,April,1278,91,Transport Delays,2017
30,952,True,25,water,May,310,22,Transport Delays,2018
3,1220,True,7,road,January,170,43,Factory shutdown,2006
0,1340,False,7,rail,January,305,60,Poor Lead time calculation,2003
6,977,True,5,water,December,4904,83,Poor inventory control,2016
