daystilldelivery,inventorytofactorydistance,isholiday,manufacturingtime,modeofdelivery,month,profittocompany,quantity,rootcause,year
16,1070,False,4,road,October,799,625,excessive machine stoppage,2004
4,237,False,4,rail,July,695,71,Financial problems of company leading to interrupted supplies,2001
2,1722,True,5,airways,January,1176,78,Poor Planning,2010
2,1102,False,4,road,April,4852,60,Huge backlog of orders,2009
8,1814,False,16,rail,July,4556,123,Factory shutdown,2005
12,332,True,15,road,November,792,15,Poor inventory control,2012
3,630,False,5,rail,October,612,118,Poor inventory control,2003
8,2863,False,1,water,May,223,49,material wastage due to over-feeding,2012
3,360,False,4,water,March,2374,6,Transport Delays,2002
2,1102,True,3,road,October,822,11,Factory shutdown,2010
1,942,False,5,water,February,1339,332,Transport Delays,2009
8,939,False,23,airways,June,620,24,electricty stoppage,2012
1,764,False,3,airways,September,616,43,Poor inventory control,2002
7,1441,True,4,rail,August,919,67,Poor Lead time calculation,2009
5,1242,True,0,water,March,1848,475,Demand Variation,2013
15,7221,False,3,road,November,825,1,Strike of workers,2018
5,231,True,4,water,December,908,78,Financial problems of company leading to interrupted supplies,2017
4,1389,True,6,airways,February,411,82,Poor inventory control,2016
5,673,False,5,airways,May,1904,232,Strike of workers,2001
13,800,False,1,airways,January,1948,90,faulty plant layout,2010
16,625,False,4,road,August,2110,35,electricty stoppage,2004
49,8510,True,5,road,March,675,34,faulty plant layout,2011
20,1056,False,5,airways,December,3675,348,Transport Delays,2013
2,1348,True,32,airways,January,4074,69,Poor Planning,2015
5,4155,False,24,rail,March,1050,12,faulty plant layout,2002
1,1033,False,9,rail,May,1347,32,Poor Lead time calculation,2006
2,470,True,1,rail,February,271,25,Raw material low,2010
11,4686,True,43,water,January,6741,26,Demand Variation,2011
4,1148,False,28,airways,November,1595,91,Huge backlog of orders,2001
0,1398,True,7,airways,June,2296,119,Huge backlog of orders,2007
5,244,False,15,rail,June,1033,103,Financial problems of company leading to interrupted supplies,2009
1,203,False,14,road,May,632,106,excessive machine stoppage,2009
2,788,True,10,airways,June,419,66,Huge backlog of orders,2007
4,985,False,5,road,December,1892,49,Factory shutdown,2015
17,516,False,12,road,January,1083,129,Poor Planning,2009
9,821,False,0,airways,November,742,19,excessive machine stoppage,2012
6,446,True,4,road,November,1525,90,Huge backlog of orders,2001
3,6690,False,9,airways,March,4668,187,Strike of workers,2005
6,924,True,21,airways,November,183,409,Raw material low,2017
5,2055,True,2,road,November,229,84,Poor Planning,2018
27,4465,False,3,airways,December,2137,201,material wastage due to over-feeding,2014
1,152,True,0,airways,December,1006,133,excessive machine stoppage,2017
4,329,False,8,road,August,5862,51,Financial problems of company leading to interrupted supplies,2011
5,5772,False,0,airways,January,8631,27,electricty stoppage,2007
2,201,True,6,rail,November,722,73,Poor Lead time calculation,2016
5,1527,True,2,airways,November,858,51,electricty stoppage,2005
4,792,True,2,road,July,984,30,Demand Variation,2002
12,2073,False,5,airways,March,932,23,Strike of workers,2013
1,292,True,1,water,December,3108,160,Poor Lead time calculation,2014
12,643,True,15,water,March,612,12,Poor Lead time calculation,2004
1,2613,False,3,road,December,973,104,material wastage due to over-feeding,2013
1,1017,True,5,water,January,3577,42,Transport Delays,2009
3,191,True,9,rail,January,494,13,Huge backlog of orders,2004
7,99,True,11,water,March,985,476,Raw material low,2009
5,1082,True,6,water,March,485,26,material wastage due to over-feeding,2014
2,243,False,4,rail,May,1196,119,faulty plant layout,2014
27,666,True,6,airways,November,526,47,faulty plant layout,2004
2,279,True,7,road,October,2774,21,Strike of workers,2011
25,41,True,2,airways,April,1449,19,excessive machine stoppage,2010
7,168,True,1,road,October,4775,75,Financial problems of company leading to interrupted supplies,2003
1,3329,False,1,road,August,1100,690,Poor inventory control,2016
1,1195,True,2,water,February,1147,25,Factory shutdown,2011
2,269,True,4,water,December,806,206,Strike of workers,2007
7,764,False,5,road,January,1400,96,Poor Planning,2017
23,1678,False,1,airways,May,2583,11,Demand Variation,2016
10,459,False,3,airways,May,1858,98,Poor Lead time calculation,2012
4,1776,True,1,airways,May,730,679,Financial problems of company leading to interrupted supplies,2006
23,1262,False,3,rail,September,1179,106,Financial problems of company leading to interrupted supplies,2003
11,4641,False,6,rail,September,4586,85,Factory shutdown,2018
4,72,True,7,water,February,958,184,Poor inventory control,2004
3,795,True,5,road,September,947,30,Poor inventory control,2004
1,74,True,6,water,April,278,126,Poor Planning,2013
6,100,False,8,road,June,702,905,electricty stoppage,2012
1,296,True,3,rail,August,1008,81,Financial problems of company leading to interrupted supplies,2012
39,1191,False,3,water,August,1177,67,Poor Lead time calculation,2006
15,316,False,1,water,November,1370,89,Strike of workers,2002
22,794,False,8,water,November,2649,370,Poor inventory control,2008
16,1634,True,9,airways,January,1787,53,Transport Delays,2018
6,9261,True,4,rail,August,2348,51,Supply Shortages and logistical uncertainties,2002
14,545,False,7,water,June,451,40,Factory shutdown,2004
